,Dataname,Mean value,Max value,Min value,Standard deviation
0,01_HITSCLIP_AGO2Karginov2013a_hg19,0.9956834781804732,0.9973823502218936,0.9901823687130178,0.001752820097462678
1,02_HITSCLIP_AGO2Karginov2013c_hg19,0.9975226062182584,0.9996841322928279,0.9897621701969528,0.0020740360265553057
2,03_HITSCLIP_AGO2Karginov2013b_hg19,0.9872803886575451,0.9937180249851278,0.9810350981558597,0.0034547345756622424
3,04_HITSCLIP_AGO2Karginov2013d_hg19,0.9959905801205006,0.9984166974852071,0.9934472078402368,0.001372872998925424
4,05_HITSCLIP_AGO2Karginov2013f_hg19,0.9956814442123916,0.9990886652743497,0.9839377254604139,0.003592245860228927
5,06_HITSCLIP_AGO2Karginov2013e_hg19,0.996907594685703,0.9997858417608566,0.9882450922070196,0.0028449844748013086
6,07_PARCLIP_AGO2Gottwein2011a_hg19,0.9419066213360509,0.9569299028758489,0.92833373914455,0.007162722277656154
7,08_PARCLIP_AGO2Gottwein2011b_hg19,0.9560212969909143,0.9687421855463865,0.937759439859965,0.00832256389756854
8,09_PARCLIP_AGO2Skalsky2012a_hg19,0.9283550347222222,0.9450347222222223,0.9020486111111112,0.010213172248219486
9,10_PARCLIP_AGO2Skalsky2012b_hg19,0.9160342642857476,0.935403778984135,0.8818190744715173,0.01102057673597869
10,11_PARCLIP_AGO2Skalsky2012e_hg19,0.897469447237384,0.9247881355932203,0.8667767882792301,0.015968520967004185
11,12_HITSCLIP_DGCR8Macias2012d_hg19,0.9653409758965315,0.9773746535651298,0.9517157974300832,0.006442625711397799
12,13_HITSCLIP_DGCR8Macias2012c_hg19,0.9589381164790224,0.9677448988965898,0.946656595453664,0.005672099949547199
13,14_HITSCLIP_DGCR8Macias2012a_hg19,0.9654404405171947,0.9783493487015437,0.9466784852211839,0.006834463385481603
14,15_HITSCLIP_DGCR8Macias2012b_hg19,0.9204936027784276,0.9373594140828849,0.9040011876698277,0.010282118652296831
15,16_HITSCLIP_EIF4A3Sauliere2012a_hg19,0.8470434621121647,0.8671454315948178,0.8231862917546693,0.01207027783379034
16,17_HITSCLIP_EIF4A3Sauliere2012b_hg19,0.9248024111910453,0.9431549274737682,0.9054095790700162,0.010913544414054604
17,18_HITSCLIP_EWSR1Paronetto2014_hg19,0.9278670348871837,0.9451760809655608,0.9023007859695829,0.010991435070230276
18,19_PARCLIP_FMR1_Ascano2012b_hg19,0.9577321582979751,0.9716664320617747,0.9376621287377587,0.0082036746178898
19,20_PARCLIP_FMR1_Ascano2012a_hg19,0.9665814399586538,0.97692170075735,0.9543323990697119,0.006333932454517443
20,21_PARCLIP_FMR1_Ascano2012c_hg19,0.935395386042034,0.9527278132897281,0.9119964322877955,0.01165181973408317
21,22_HITSCLIP_FUSNakaya2013c_hg19,0.8114241168512618,0.8397367817030994,0.7644325595509027,0.017051139110987518
22,23_HITSCLIP_FUSNakaya2013d_hg19,0.814808930255443,0.8375283499611736,0.7871885431674257,0.014416999308399705
23,24_HITSCLIP_FUSNakaya2013e_hg19,0.8332554593430131,0.861517512006871,0.7836815096472234,0.02164865843011499
24,25_PARCLIP_HuR_mukherjee2011_hg19,0.9275367580990977,0.9420557424895897,0.9012910841760855,0.008973064492230154
25,26_PARCLIP_IGF2BP123_Hafner2010d_hg19,0.9866781445572995,0.9948107109879962,0.9821268082486919,0.0030401583492781683
26,27_PARCLIP_RBM10Wang2013a_hg19,0.8183272072473452,0.8455424370683895,0.7686166184005346,0.01681485859971384
27,28_PARCLIP_RBM10Wang2013b_hg19,0.8161605286605287,0.8429313929313929,0.7870507870507871,0.013154844849481533
28,29_iCLIP_TDP-43_tollervey2011_hg19,0.9177938525329008,0.9289249444143982,0.8904128357670813,0.010250661953072006
29,30_iCLIP_TIAL1_wang2010b_hg19,0.931232753579489,0.9480620048792523,0.8969669142841478,0.010174299929250473
30,31_PARCLIP_ZC3H7B_Baltz2012e_hg19,0.9879341836734694,0.9939183673469387,0.980930612244898,0.003159149904128788
