read_conv	read_markonv	assembly_conv	assembly_markonv
92.119005	92.6063	99.92005	99.94002
91.935645	92.401365	99.92006	99.94003
92.10604	92.40493	99.92003	99.94003
92.28437	92.394515	99.93003	99.94003
92.042715	92.229225	99.92002	99.940025
92.0593	92.34482	99.92006	99.94502
92.09799	92.4046	99.92003	99.95
92.15628	92.45476	99.93003	99.94002
92.169345	92.39579	99.92005	99.94003
92.094935	92.37103	99.92004	99.94002
91.889085	92.432455	99.92005	99.94004
92.118235	92.423475	99.92004	99.94003
92.09829	92.420185	99.92002	99.94003
92.243765	92.39863	99.92006	99.94003
92.186395	92.356405	99.92004	99.94001
92.310195	92.28154	99.93001	99.94003
