Name	Length	Identity	Relative length	Strand
1	10000	99.93005	99.93005	+
10	10000	99.95001	99.97001	+
100	10000	99.99000	99.99000	+
101	10000	99.88008	99.98000	+
102	10000	99.92004	99.97001	+
103	10000	99.88012	99.91008	+
104	10000	99.89012	99.89012	+
105	10000	99.91007	99.93005	+
106	10000	99.93004	99.95002	+
107	10000	99.87008	99.97001	+
108	10000	99.85009	99.98000	+
109	10000	99.90007	99.94004	+
11	10000	99.89003	99.89003	+
110	10000	99.96002	99.96002	+
111	10000	99.96000	100.01000	+
112	10000	99.90004	99.97001	+
113	10000	99.88008	99.97001	+
114	10000	99.96002	99.96002	+
115	10000	99.90009	99.91008	+
116	10000	99.91004	99.99000	+
117	10000	99.93004	99.94004	+
118	10000	99.91007	99.92006	+
119	10000	99.93004	99.95002	+
12	10000	99.94003	99.96002	+
120	10000	99.89007	99.95002	+
121	10000	99.95001	99.98000	+
122	10000	99.94003	99.95002	+
123	10000	99.91004	99.99000	+
124	10000	99.88014	99.88014	+
125	10000	99.92004	99.97001	+
126	10000	99.93003	99.96002	+
127	10000	99.90009	99.91008	+
128	10000	99.88013	99.89012	+
129	10000	99.93004	99.95002	+
13	10000	99.94003	99.96002	+
130	10000	99.90008	99.94004	+
131	10000	99.95002	99.95002	+
132	10000	99.92004	99.98000	+
133	10000	99.94004	99.94004	+
134	10000	99.90006	99.95002	+
135	10000	99.96001	99.99000	+
136	10000	99.95001	99.99000	+
137	10000	99.95002	99.96002	+
138	10000	99.91007	99.92006	+
139	10000	99.92006	99.92006	+
14	10000	99.93003	99.95002	+
140	10000	99.86015	99.90010	+
141	10000	99.91006	99.95002	+
142	10000	99.91004	99.96002	+
143	10000	99.93004	99.95002	+
144	10000	99.95001	99.99000	+
145	10000	99.93003	99.97001	+
146	10000	99.94003	99.96002	+
147	10000	99.91007	99.92006	+
148	10000	99.87016	99.88014	+
149	10000	99.95002	99.95002	+
15	10000	99.92006	99.94004	+
150	10000	99.92006	99.93005	+
151	10000	99.95001	99.97001	+
152	10000	99.92005	99.96002	+
153	10000	99.89009	99.94004	+
154	10000	99.92005	99.96002	+
155	10000	99.90007	99.96002	+
156	10000	99.91004	99.99000	+
157	10000	99.96002	99.96002	+
158	10000	99.91004	99.98000	+
159	10000	99.96001	99.98000	+
16	10000	99.97001	99.97001	+
160	10000	99.88005	99.96002	+
161	10000	99.93002	100.00000	+
162	10000	99.89010	99.92006	+
163	10000	99.94003	99.95002	+
164	10000	99.92003	99.99000	+
165	10000	99.95002	99.96002	+
166	10000	99.95001	100.00000	+
167	10000	99.93005	99.93005	+
168	10000	99.89010	99.92006	+
169	10000	99.93002	99.98000	+
17	10000	99.90007	99.95002	+
170	10000	99.95000	100.02000	+
171	10000	99.92006	99.93005	+
172	10000	99.94002	99.98000	+
173	10000	99.88996	99.93996	+
174	10000	99.90006	99.95002	+
175	10000	99.88012	99.91008	+
176	10000	99.88005	99.94001	+
177	10000	99.93004	99.94004	+
178	10000	99.89011	99.91008	+
179	10000	99.87017	99.87017	+
18	10000	99.87013	99.92006	+
180	10000	99.94002	99.98000	+
181	10000	99.92006	99.93005	+
182	10000	99.94001	99.98000	+
183	10000	99.93003	99.99000	+
184	10000	99.90010	99.90010	+
185	10000	99.87010	99.95002	+
186	10000	99.87014	99.90010	+
187	10000	99.95997	100.00000	+
188	10000	99.94003	99.96002	+
189	10000	99.93004	99.94004	+
19	10000	99.90006	99.95002	+
190	10000	99.94003	99.95002	+
191	10000	99.96001	99.97001	+
192	10000	99.94004	99.94004	+
193	10000	99.92006	99.92006	+
194	10000	99.95002	99.97001	+
195	10000	99.94003	99.96002	+
196	10000	99.90008	99.94004	+
197	10000	99.88011	99.93005	+
198	10000	99.95002	99.96002	+
199	10000	99.87016	99.89012	+
2	10000	99.87016	99.88014	+
20	10000	99.84021	99.89012	+
200	10000	99.89007	99.96002	+
201	10000	99.87013	99.91008	+
202	10000	99.96001	99.98000	+
203	10000	99.93005	99.93005	+
204	10000	99.90008	99.94004	+
205	10000	99.88014	99.88014	+
206	10000	99.85015	99.91006	+
207	10000	99.92006	99.94004	+
208	10000	99.91007	99.92006	+
209	10000	99.87014	99.89012	+
21	10000	99.93003	99.96002	+
210	10000	99.92005	99.96002	+
211	10000	99.92989	99.98998	+
212	10000	99.92006	99.93005	+
213	10000	99.97001	99.97001	+
214	10000	99.94002	99.97001	+
215	10000	99.91006	99.94004	+
216	10000	99.90007	99.96002	+
217	10000	99.95001	99.97001	+
218	10000	99.88010	99.95002	+
219	10000	99.88006	99.95001	+
22	10000	99.94002	99.97001	+
220	10000	99.94003	99.96002	+
221	10000	99.95002	99.95002	+
222	10000	99.86017	99.90010	+
223	10000	99.89011	99.91008	+
224	10000	99.91005	99.96002	+
225	10000	99.90007	99.96002	+
226	10000	99.94004	99.94004	+
227	10000	99.95001	99.98000	+
228	10000	99.90009	99.92006	+
229	10000	99.87014	99.90010	+
23	10000	99.90009	99.92006	+
230	10000	99.91004	99.98000	+
231	10000	99.95001	99.99000	+
232	10000	99.90004	99.98000	+
233	10000	99.93995	99.95996	+
234	10000	99.93004	99.94004	+
235	10000	99.93003	99.96002	+
236	10000	99.98000	100.00000	+
237	10000	99.90006	99.96002	+
238	10000	99.89011	99.91008	+
239	10000	99.93004	99.94004	+
24	10000	99.99000	99.99000	+
240	10000	99.93003	99.97001	+
241	10000	99.94002	99.99000	+
242	10000	99.93003	99.95002	+
243	10000	99.93004	99.95002	+
244	10000	99.93003	99.95002	+
245	10000	99.97001	99.97001	+
246	10000	99.94003	99.95002	+
247	10000	99.94003	99.96002	+
248	10000	99.94003	99.96002	+
249	10000	99.93004	99.94004	+
25	10000	99.95002	99.97001	+
